,molecule_chembl_id,y_test_idx0,y_test0,y_pred_rf0,y_pred_rf1,y_pred_rf2,y_pred_rf3,y_pred_rf4,y_pred_rf_ave,y_pred_rf_std
0,CHEMBL4286867,0,7.25,6.770471976401196,6.820855457227148,6.807082104228131,6.811681415929221,6.727492625368745,6.864597263192407,0.17522078779663347
1,CHEMBL3689853,1,6.43,6.518849557522119,6.580663716814146,6.639203539823,6.579277286135686,6.644410029498509,6.565400688298911,0.07372834265653729
2,CHEMBL3827056,2,7.52,8.729277286135682,8.774719764011811,8.773584070796458,8.780486725663717,8.78600294985249,8.560678466076693,0.46577292385799757
3,CHEMBL3689883,3,7.7,7.436563421828943,7.415206489675542,7.419129793510357,7.373377581120968,7.421268436578196,7.460924287119002,0.10864664219350663
4,CHEMBL2023528,4,7.27,7.607625368731584,7.66984759095381,7.513797935103252,7.3553097345132725,7.400442477876106,7.469503851196337,0.14070577442988047
5,CHEMBL403694,5,6.4,6.774349557522099,6.890186823992115,6.7961356932153105,6.7465580137659735,6.796219272369691,6.733908226810865,0.15570706801682171
6,CHEMBL343448,6,11.82,7.657031710914437,7.681846116027517,7.417315634218281,7.771445427728591,7.638876597836751,8.331085914454263,1.563953868614605
7,CHEMBL4455057,7,9.22,8.086401179941035,8.10005408062934,8.034518190757154,8.227894542772907,8.177777777777811,8.307774295313042,0.4127667315816502
8,CHEMBL4437282,8,5.13,5.064911504424781,5.008062930186828,5.069271807838182,5.098466076696158,5.058817109144537,5.071588238048414,0.03737838777924008
9,CHEMBL3689856,9,7.52,7.162935103244858,7.157153392330389,7.179778761061963,7.166327433628323,7.130265486725662,7.219410029498533,0.13524963675940882
10,CHEMBL4060342,10,5.1,5.1623967551622645,5.116887905604752,5.128181907571315,5.144081120943987,5.129006882989209,5.130092428711921,0.019680765629536426
11,CHEMBL3971832,11,5.35,6.245272861356896,6.181224188790528,6.12048672566368,6.259980334316577,6.321123402163187,6.079681252048478,0.33232349607530515
12,CHEMBL3287257,12,6.95,6.736637168141575,6.797025565388381,6.829085545722692,6.782305063913454,6.892728613569297,6.831296992789233,0.07118562669066891
13,CHEMBL4069031,13,4.9,5.27786873156343,5.287908062930208,5.2474857423795696,5.224218534906603,5.336670599803368,5.21235861193053,0.1439879862831825
14,CHEMBL396559,14,6.49,7.024378072763037,6.840630530973453,6.895226155358908,6.81394788593905,6.8517895771878194,6.819328703703711,0.162172486031974
15,CHEMBL4560057,15,5.15,5.537674532940017,5.531784660766958,5.568576696165185,5.555427728613568,5.57823008849558,5.486948951163551,0.15154900139347027
16,CHEMBL3339011,16,7.87,7.9055088495575,7.937411504424752,7.906917404129761,7.844807030481771,7.907664700098305,7.895384914782016,0.029874838937045095
17,CHEMBL277805,17,6.7,5.52890855457226,5.514730825958698,5.567300884955737,5.599513274336265,5.479095378564395,5.731591486397892,0.43476321264401846
18,CHEMBL3675762,18,6.74,6.912251720747286,6.885494100294981,6.8976686332349955,6.931507374631255,6.96168018682401,6.888100335955421,0.07060867408360724
19,CHEMBL3664083,19,7.46,7.680066371681409,7.680475663716812,7.662772861356924,7.653163716814157,7.631044739429693,7.627920558833165,0.0769634106207167
