,molecule_chembl_id,y_test_idx0,y_test0,y_pred_svm0,y_pred_svm1,y_pred_svm2,y_pred_svm3,y_pred_svm4,y_pred_svm_ave,y_pred_svm_std
0,CHEMBL4286867,0,7.25,6.906269951844841,6.880987930572717,6.622950574828732,6.897094824237339,6.782075492395203,6.889896462313138,0.18839643298334213
1,CHEMBL3689853,1,6.43,6.374421547455945,6.422654822751786,6.340520874383186,6.369551784793421,6.381926203098874,6.386512538747202,0.03100416877888893
2,CHEMBL3827056,2,7.52,8.67156215401526,8.636064228913341,8.5958096665706,8.559174814747108,8.710785476658373,8.44889939015078,0.41828839357497266
3,CHEMBL3689883,3,7.7,7.402378712210047,7.380729043150676,7.3559469964703945,7.366139059697184,7.367486977872437,7.42878013156679,0.12216899444191659
4,CHEMBL2023528,4,7.27,7.691217896754461,7.699363718144083,7.82305846228332,7.101727235829517,7.099170126476863,7.447422906581374,0.2989639398207198
5,CHEMBL403694,5,6.4,6.977090589446707,6.961608586236025,7.020035010646581,6.865149166377157,7.042372228427564,6.87770926352234,0.22085068526627727
6,CHEMBL343448,6,11.82,7.540049402664332,7.540367453090994,7.540214591204348,7.540210197723252,7.540290388080881,8.253522005460635,1.5949774501206755
7,CHEMBL4455057,7,9.22,8.852916257060976,8.801547905580625,8.76323976613855,8.789990004184235,8.79653417018745,8.870704683858639,0.15846720961647934
8,CHEMBL4437282,8,5.13,4.943665736843258,5.038653147715985,5.1381689200791545,5.2014055874935945,5.135825428940002,5.097953136845333,0.08376765607215764
9,CHEMBL3689856,9,7.52,7.353414184320329,7.319746147059225,7.362696873542416,7.346905335833328,7.447785513800223,7.3917580090925865,0.06963878060547639
10,CHEMBL4060342,10,5.1,5.18075714852423,5.160189200609043,5.232814382966256,5.182894963504327,5.174129636487998,5.171797555348642,0.03920365945165036
11,CHEMBL3971832,11,5.35,6.187321130245897,6.094057089629942,6.304301637380645,6.284724443629846,6.22425255039827,6.0741094752141,0.33101846819580816
12,CHEMBL3287257,12,6.95,6.702175665667951,6.858491394071974,6.724183204018943,6.640872557531138,6.724223377015394,6.766657699717566,0.10458841214471225
13,CHEMBL4069031,13,4.9,5.188052304939643,5.2778705327531075,5.1634135836049335,5.1970184129949555,5.225354362253298,5.158618199424324,0.12105243091746824
14,CHEMBL396559,14,6.49,6.970889812357099,6.584242546298458,6.75186484432744,6.580416853342537,6.658406665126974,6.672636786908751,0.155514577285505
15,CHEMBL4560057,15,5.15,5.455573466042443,5.419548828717398,5.52313239767278,5.479228608559382,5.490032768068501,5.419586011510084,0.12464185683250877
16,CHEMBL3339011,16,7.87,7.890387223217761,7.775181702459678,7.895746611987688,7.815311600830949,7.897588912511609,7.857369341834615,0.04630299556710159
17,CHEMBL277805,17,6.7,5.131619007225035,5.1155897884516,5.150985464082007,5.058501684470536,5.131105596128399,5.381300256726263,0.5904451685474611
18,CHEMBL3675762,18,6.74,6.871100824682641,6.880841675437503,6.866218413413066,6.883331296669898,7.022544401658419,6.877339435310255,0.0818101137009498
19,CHEMBL3664083,19,7.46,7.307901112710316,7.2516555783735726,7.273906931037514,7.276586781220153,7.40212195178104,7.328695392520433,0.07606683187623875
20,CHEMBL270098,20,7.1,6.845360264121101,6.84739797758592,6.901599213827471,6.878817436362802,6.821235973110542,6.899068477501306,0.09345435384268873
21,CHEMBL4210305,21,5.82,6.30229720306297,6.178599408247825,6.161086539709619,6.2302024487847705,6.32892296843447,6.170184761373275,0.16784744534346344
22,CHEMBL3932246,22,5.56,5.598338838915958,5.066586506624289,5.648717403185641,5.552111521738857,5.609262724195121,5.5058361657766435,0.19903276032703762
23,CHEMBL4458120,23,6.91,7.372215136465759,7.360882384555607,7.43298100125204,7.3694511298266105,7.390831648918287,7.306060216836383,0.1786799409972683
24,CHEMBL1076939,24,8.3,7.895784036457959,7.964012638001088,7.8223336612883445,7.805910682326646,7.942971799766585,7.955168802973437,0.16461330782959477
25,CHEMBL2046618,25,5.22,5.146687095644067,5.151115988230358,5.132350552068254,5.089007398305702,5.1467017478998605,5.147643797024707,0.03856031974039275
26,CHEMBL2057822,26,5.92,6.316551447271678,6.303471006619843,6.331352631888554,6.382158402163679,6.48040080611319,6.288989049009491,0.17523127263807986
27,CHEMBL2442802,27,7.14,7.081437933809258,7.0694330743002,7.036543961490592,7.11384240886174,7.014944433528457,7.076033635331708,0.04259361832036036
28,CHEMBL246778,28,7.92,7.819863242674771,7.820012827095667,7.819851932968941,7.8198242697842675,7.819853249631089,7.836567587025789,0.03731215969935931
29,CHEMBL246189,29,8.46,8.387955792110656,8.420771216020393,8.38650426071116,8.35992496141315,8.359741297282836,8.3958162545897,0.03530908958955013
30,CHEMBL3593412,30,6.47,5.893808383572821,6.232834324717036,6.150627373005526,5.909779750776752,6.138211805104411,6.132543606196091,0.19617697743098306
31,CHEMBL469377,31,7.8,7.854768899507703,8.145875709094561,8.10676139215139,8.003669413447522,8.113053357408246,8.004021461934904,0.13320866037155746
32,CHEMBL3951291,32,5.39,6.099271117605341,6.107434048476784,5.7452928779552925,6.082734516852161,6.308138577958122,5.9554785231412835,0.30228958513257614
33,CHEMBL4092753,33,7.92,7.200356935907461,6.9208305232223575,7.160486118513144,7.24407147381069,6.789919333478883,7.205944064155424,0.35772278081028264
34,CHEMBL3655918,34,7.11,6.946647310666415,7.0911502741590535,7.011992848569795,7.000706236341236,7.051977707642038,7.035412396229757,0.055642705985460075
35,CHEMBL3585958,35,6.42,6.915767326737359,6.886777862871962,6.8180996863498065,6.832235837582804,6.9393437156635684,6.802037404867583,0.17611122634977422
36,CHEMBL3921816,36,7.58,7.636381500089407,7.6429929442560836,7.662597772701451,7.648333809021815,7.639271780561375,7.634929634438355,0.025975763135340935
37,CHEMBL393389,37,6.65,6.408662605756474,6.363218809990293,6.460444237090595,6.503854240219316,6.379338822099196,6.4609197858593115,0.0970624095650145
38,CHEMBL4281736,38,6.75,7.072729254950403,7.08858191034709,7.114425610413941,7.0106393168073415,7.158082997185766,7.0324098482840895,0.13387217731326095
39,CHEMBL3973971,39,6.52,6.10617923806387,6.147510720550082,6.2151826343489285,6.1534889362062275,6.14626553592214,6.214771177515208,0.14019600433385457
40,CHEMBL515764,40,6.46,6.336808933715343,6.263119770093112,6.300567591019458,6.296685332325623,6.3689700322799405,6.337691943238913,0.06397802745545522
41,CHEMBL3692663,41,5.04,5.434123508182368,5.317124505413095,5.342826376004829,5.323223370192299,5.409520656037731,5.311136402638387,0.12878046232133047
42,CHEMBL4581057,42,4.17,5.836975628293868,5.8925425643664875,5.81429550038867,5.893242862832024,5.860157541898747,5.577869016296634,0.63025071762869
43,CHEMBL3925038,43,6.26,6.285132001770437,6.333577384619682,6.277117384811062,6.341948729583143,6.346402164428064,6.307362944202065,0.03430182526836786
44,CHEMBL3918458,44,4.54,5.247462417906301,5.690629603063417,5.68553551516231,5.760348028574447,5.594403565311989,5.4197298550030775,0.42703857268784784
45,CHEMBL2312464,45,6.9,6.939240718927555,6.9588736851707935,7.066969695665679,6.957465674550473,7.014829570828886,6.972896557523899,0.053989983011524106
46,CHEMBL4636452,46,6.68,7.0725715073298625,7.094955260033527,7.065891705288814,7.04208775684378,7.024363563380383,6.996644965479394,0.14336565538682047
47,CHEMBL4466520,47,6.2,6.794561213228931,6.474681928156208,6.4647194632116785,6.47741129936884,6.506457745702825,6.486305274944748,0.17227821892053563
48,CHEMBL2407717,48,6.03,6.530211518554539,6.530239301891959,6.530469230314383,6.530305377311873,6.530257443857339,6.446913811988348,0.18644954361496827
49,CHEMBL3895935,49,5.96,5.960318920909602,6.016954825522323,5.915939555753274,5.976501576722845,6.046533444923013,5.97937472063851,0.04221638097094934
50,CHEMBL407959,50,7.32,6.894193152225817,6.826067268044047,6.852847484579628,6.8107577137493545,6.951577513578767,6.942573855362936,0.17505825442093895
51,CHEMBL3628320,51,6.09,6.9734051042950025,6.925444156314468,6.872219452481564,6.984629623677466,6.945415555366745,6.79851898202254,0.3189414358630098
52,CHEMBL4437852,52,7.96,6.2313912981285995,6.244083629526061,6.193629642638381,6.267630825256644,6.132057789104945,6.504798864109105,0.6522199716629739
53,CHEMBL3792392,53,4.86,6.489004559396525,6.498369806859587,6.51280837606254,6.536185587982942,6.524437333273854,6.236800943929242,0.6159209544897079
54,CHEMBL2023526,54,7.33,6.955117710119168,7.097845715487297,7.263342365208903,7.460459670327094,7.328861539146745,7.239271166714867,0.16658645298018912
55,CHEMBL3601777,55,6.49,6.7214333034706115,6.729936093323953,6.7273343349772,6.619253835631345,6.603393585219773,6.648558525437147,0.08772885562491659
56,CHEMBL3098696,56,5.75,6.363252334535234,6.544953429605852,6.440854333720708,6.5278494048803095,6.626338696557836,6.37554136654999,0.29169512955643423
57,CHEMBL4464003,57,5.07,4.870576492629077,4.914278780119407,4.8185542115949005,4.905398998408277,4.919316322281835,4.916354134172249,0.07681207159880335
58,CHEMBL3689897,58,7.4,7.502496667882408,7.412132430566391,7.459629571239459,7.415319168840706,7.485113829137344,7.445781944611052,0.038969155954466934
59,CHEMBL523588,59,6.06,5.9856606087727044,6.037139753003501,5.991844154153816,6.019897222646306,5.938560145113309,6.0055169806149395,0.039242048031624246
60,CHEMBL3421740,60,5.56,6.508537359178281,6.5204822818676895,6.498254949168148,6.616490640928868,6.461753677836836,6.360919818163304,0.36126364432809754
61,CHEMBL1934898,61,4.8,4.777180347508532,5.076931885711349,5.193029110034564,5.19342637899272,5.172405306399043,5.035495504774367,0.17907406219491
62,CHEMBL1099057,62,8.0,7.848696342917327,7.839397672814108,7.882952238376973,7.849269500557382,7.8995530703138535,7.886644804163275,0.054922595913970806
63,CHEMBL3908319,63,5.18,5.233771042079985,5.14129526721937,5.13029041727664,5.282359770097469,5.344681167539281,5.218732944035458,0.07687260855369976
64,CHEMBL4648856,64,8.1,8.280743154429736,8.0730413081059,8.250957369310255,8.178508414879696,8.233589603863178,8.186139975098127,0.07710616912060536
65,CHEMBL481922,65,5.78,5.179657198992479,5.220501564294963,5.2091661275168235,5.191241760957296,5.222428796335107,5.300499241349446,0.2149795859185681
66,CHEMBL4290191,66,6.82,6.578810538317787,6.590473052239368,6.610229018740567,6.565042238042112,6.536929207163834,6.616914009083945,0.09356624805874811
67,CHEMBL3648308,67,6.84,6.463619717532422,6.413067976261592,6.377971689899474,6.434331475925102,6.353345208869463,6.4803893447480085,0.16476454219527334
68,CHEMBL4645915,68,6.85,7.099643450452893,7.548386930280797,7.10221060300388,7.100830858813985,7.106868397408935,7.134656706660081,0.2067192921371294
69,CHEMBL4246561,69,9.82,8.787061419607491,8.783241033538296,8.7055556145482,8.662415584424446,8.773503132233097,8.92196279739192,0.4041761215706903
70,CHEMBL4090647,70,7.61,7.450766862462548,7.490762613952487,7.232211399150708,7.384152777721825,7.317583024244202,7.414246112921961,0.12171970734512445
71,CHEMBL1834478,71,7.77,7.783031276086166,7.7342967981075565,7.701046603943069,7.770130117123355,7.7831173730267365,7.7569370280478145,0.029853359938866716
72,CHEMBL4092530,72,6.77,6.492072709785651,6.5281248106600716,6.449814003065835,6.495415588488189,6.38734584214309,6.520462159023807,0.12005016839704226
73,CHEMBL3974241,73,4.74,5.301819755521614,5.320193309192849,5.222713955458813,5.235991768068785,5.308407948397286,5.188187789439891,0.20377280596141115
74,CHEMBL3939677,74,4.51,5.0400570180275,5.157524937322374,5.214875480396715,5.198998628571805,5.227004656812385,5.058076786855129,0.25284522011396066
