,molecule_chembl_id,y_test_idx0,y_test0,y_pred_knn0,y_pred_knn1,y_pred_knn2,y_pred_knn3,y_pred_knn4,y_pred_knn_ave,y_pred_knn_std
0,CHEMBL356066,0,8.02,7.101068796188727,7.101068796188727,7.034959750525782,7.101068796188727,7.101068796188727,7.2432058225467815,0.34823061268959826
1,CHEMBL3652228,1,8.05,8.106914893617022,8.021566779561185,8.021566779561185,8.021566779561185,8.021566779561185,8.040530335310292,0.031451152383532355
2,CHEMBL3939518,2,6.87,7.574042272126817,7.583609862747481,7.574042272126817,7.60646690984888,7.655317492830807,7.477246468280133,0.2730102295121653
3,CHEMBL4281792,3,7.22,8.235,7.849999999999999,7.405,7.91,7.8500000000000005,7.745,0.3367986539957267
4,CHEMBL4070232,4,7.15,7.119513976834815,6.928830296884288,6.928830296884288,6.928830296884288,7.119513976834815,7.029253140720416,0.100935692225653
5,CHEMBL2018295,5,7.94,8.211597102076126,8.211597102076126,8.463167207974017,8.366907385067078,8.406393361611004,8.266610359800726,0.17366664408971164
6,CHEMBL3758451,6,6.62,7.230964696147371,7.2210959916261315,7.189806562769206,7.2210959916261315,7.2210959916261315,7.117343205632495,0.22278725548060221
7,CHEMBL4073813,7,8.73,8.49997520148791,8.49997520148791,8.533936763794172,8.668440366972476,8.668440366972476,8.60012798345249,0.091871596260601
8,CHEMBL481018,8,7.4,7.347748135398738,7.478055077452667,7.478055077452667,7.478055077452667,7.5080496780128785,7.448327174294936,0.05578183839659341
9,CHEMBL3693785,9,8.05,8.202947409446326,8.202947409446326,8.277110984355092,8.202947409446326,8.247243576055235,8.19719946479155,0.0714808401709951
10,CHEMBL3745758,10,7.03,7.130055924524838,7.069249183660812,7.130055924524838,7.430919293170017,7.130055924524838,7.153389375067557,0.12971810132885134
11,CHEMBL3262725,11,6.55,7.1692097662791525,7.0195121209315845,7.0195121209315845,7.0195121209315845,7.0195121209315845,6.966209708334248,0.19399490267878228
12,CHEMBL2431917,12,7.46,7.402480438666952,7.071832727646296,7.262818585955675,7.402480438666952,7.352961981514952,7.325429028741804,0.12843441958958912
13,CHEMBL407959,13,6.47,6.7784478108901265,6.900119283715833,6.7784478108901265,6.505476994098818,6.620971630761523,6.675577255059405,0.15586409995493314
14,CHEMBL4069885,14,5.87,5.45130472600754,5.443690579083839,5.416576971214019,5.443690579083839,5.680623042116256,5.550980982917582,0.16812815193413644
15,CHEMBL3937174,15,5.71,5.383028131755567,5.364822288437119,5.52593847891953,5.52593847891953,5.383028131755567,5.482125918297885,0.12190608558894706
16,CHEMBL3763386,16,7.01,7.154808994941001,7.631761421005995,6.509488992421795,7.631761421005995,7.279844262157768,7.202944181922092,0.38602819949228234
17,CHEMBL494813,17,6.14,6.4156586057822205,6.272642064589315,6.272642064589315,6.313139778085008,6.2189364461738,6.272169826536609,0.08423248437944399
18,CHEMBL3953547,18,6.07,6.465863487074278,6.403285574122814,6.465863487074278,6.460599712648775,6.465863487074278,6.388579291332404,0.14423044144722055
19,CHEMBL4203935,19,6.53,6.706214473434664,6.890147481429268,6.890147481429268,6.855611926583317,6.751037915806526,6.770526546447173,0.12794968222580774
20,CHEMBL4072045,20,9.32,9.637431374787763,9.537776349614395,9.371638162716835,9.567298857136544,9.567298857136544,9.500240600232013,0.11419947580870161
21,CHEMBL4218728,21,4.36,5.105817329760773,5.266076398362891,5.252216645978684,5.105817329760773,5.266076398362891,5.05933401703767,0.32043668046607754
22,CHEMBL3640679,22,5.9,8.197089237329545,8.257460087082729,8.257460087082729,8.257460087082729,8.268515735086893,7.856330872277437,0.8752101697324821
23,CHEMBL469134,23,7.17,7.195317392360598,7.195317392360598,7.036428442270265,7.195317392360598,7.195317392360598,7.1646163352854435,0.05806797652113906
24,CHEMBL4583725,24,8.0,7.806397533675206,7.742209914336,7.806397533675206,7.7741894635144995,7.784861369611743,7.819009302468776,0.0838140713294497
25,CHEMBL4470302,25,8.22,8.083234717099584,7.837186700767265,8.083234717099584,7.77791057078096,8.054437585133902,8.009334048480216,0.1530406401081142
26,CHEMBL3800615,26,7.05,6.567699020098705,6.5882492702464175,6.615240055102979,6.615240055102979,6.567699020098705,6.667354570108298,0.17222537372444646
27,CHEMBL3339024,27,8.27,7.719733793891543,7.706030064508491,7.719733793891543,7.745521278833343,7.706030064508491,7.811174832605569,0.20561480774984173
28,CHEMBL2105763,28,6.46,7.039971418473501,6.920726643598617,7.021384206401647,7.246289472471074,7.164505739354919,6.975479580049959,0.2529994730485233
29,CHEMBL3681869,29,6.5,6.376943231441048,6.347012779552716,6.376943231441048,6.376943231441048,6.376943231441048,6.392464284219485,0.049317646879362714
30,CHEMBL1080580,30,7.39,7.3414105005131995,6.794779004363177,6.794779004363177,6.823360268427485,6.884820625950335,7.004858233936229,0.25729966715732444
31,CHEMBL3526942,31,5.31,7.723043029649584,7.640773696006235,7.640773696006235,7.640773696006235,7.640773696006235,7.266022968945754,0.8752757299520469
32,CHEMBL4086244,32,7.37,7.448934782608696,7.448934782608696,7.448934782608696,7.448934782608696,7.448934782608696,7.435778985507247,0.02941725661703521
33,CHEMBL4067480,33,7.76,7.896702433543014,7.6040755272192255,7.593981159932625,7.593981159932625,7.593981159932625,7.673786906760019,0.11625444625508657
34,CHEMBL255686,34,8.34,7.591972355155491,7.154895101721262,7.766305049065472,7.591972355155491,7.591972355155491,7.672852869375535,0.35159726620195986
