,molecule_chembl_id,y_test_idx0,y_test0,y_pred_knn0,y_pred_knn1,y_pred_knn2,y_pred_knn3,y_pred_knn4,y_pred_knn_ave,y_pred_knn_std
0,CHEMBL585939,0,-1.19,-0.56548358275631,-0.6619606998190124,-0.7297969357859855,-0.6619606998190124,-0.5746384708712032,-0.7306400648419206,0.21293940145467
1,CHEMBL96051,1,0.78,1.7699038709677417,1.2977696774193546,2.2006042848526035,1.328308926267246,1.691403096488803,1.511331642665958,0.44503447437253396
2,CHEMBL3356916,2,0.3,0.46941176470588236,0.46941176470588236,0.39681224673570464,0.4817147372580007,0.46941176470588236,0.4311270463518921,0.06497189290661952
3,CHEMBL3907413,3,0.97,0.28,0.28,1.9208403080013392,0.28,0.28,0.66847338466689,0.6141372665230787
4,CHEMBL2047704,4,-2.25,-2.961400059017625,-2.9071995511722672,-2.9071995511722672,-2.9071995511722672,-2.9071995511722672,-2.806699710617783,0.24974908655250466
5,CHEMBL3798027,5,1.33,1.4999488252213216,1.7451415946014557,1.5553430924062215,1.5553430924062215,1.548824850299401,1.5391002424891036,0.12133357051759436
6,CHEMBL3352823,6,-1.3,-0.8837607829487273,-1.154714284575846,-1.154714284575846,-0.7536796627961225,-1.154714284575846,-1.0669305499120647,0.18668895815731584
7,CHEMBL4066975,7,0.16,1.9615899324739103,1.6989272030651343,1.6989272030651343,1.6989272030651343,1.9615899324739103,1.5299935790238706,0.6238387798120766
8,CHEMBL4284448,8,2.31,2.67,2.67,2.67,2.67,2.67,2.61,0.13416407864998733
9,CHEMBL1096982,9,-0.52,-1.2310315274954167,-0.8487494922976562,-1.2310315274954167,-1.2310315274954167,-1.2310315274954167,-1.0488126003798872,0.2746157810264489
10,CHEMBL3356932,10,0.06,0.5551848753555296,0.5716657499952585,0.6081018009348363,0.5551848753555296,0.5716657499952585,0.4869671752727354,0.1917592121315609
11,CHEMBL3415964,11,-0.53,1.71,1.71,0.4381327955784599,1.71,1.71,1.1246887992630765,0.8736619269330739
12,CHEMBL3799728,12,1.23,1.4113972610921783,1.2575592105263158,1.5716765578635017,1.5716765578635017,1.231876492872248,1.3790310133696242,0.1493833326005706
