,molecule_chembl_id,y_test_idx0,y_test0,y_pred_xgb0,y_pred_xgb1,y_pred_xgb2,y_pred_xgb3,y_pred_xgb4,y_pred_xgb_ave,y_pred_xgb_std
0,CHEMBL4635479,0,0.42,0.86419547,0.75944424,0.7319596,0.7821187,0.16824812,0.6209943465391795,0.245617373815012
1,CHEMBL4299417,1,0.98,0.53239775,0.6042135,0.7413196,0.6720583,0.7136557,0.7072741357485454,0.14025133511735327
2,CHEMBL4225331,2,0.84,0.63431793,0.88509846,0.84855855,1.0517528,1.08628,0.8910012884934743,0.14960978488561638
3,CHEMBL1094710,3,0.45,0.19435307,0.08087271,0.2548291,-0.013313996,-0.064723924,0.1503361616904537,0.17345127386324966
4,CHEMBL3287256,4,-0.33,-0.13302574,-0.13369808,-0.05516894,-0.09834985,-0.086947426,-0.1395316710571448,0.08937995480359945
5,CHEMBL261272,5,0.61,0.37097493,0.3360443,0.3829477,0.41171858,0.4021168,0.41896705587704974,0.08879459070934764
6,CHEMBL3415625,6,1.35,0.80457836,1.4318831,1.247813,1.1833471,1.0919517,1.1849288801352182,0.20227993744838133
7,CHEMBL3747043,7,-0.12,-0.063344575,0.0038465438,0.013825467,0.07044882,0.018590653,-0.012772181363155444,0.06184436388325308
8,CHEMBL3601331,8,0.36,0.077775046,0.046043012,0.15117384,0.094901726,0.16608064,0.1493290446450313,0.10280773547870446
9,CHEMBL3692689,9,0.1,-0.2791101,-0.17508645,-0.16907957,-0.29085633,-0.20797326,-0.17035095294316607,0.1296657343971574
10,CHEMBL2442795,10,0.35,0.2647333,0.21390437,0.055241432,0.3145971,0.21171276,0.23503149586419267,0.09464426935011702
11,CHEMBL4091731,11,-0.26,0.19497375,0.47442567,0.38199204,0.33120477,0.3875264,0.25168710539738337,0.24372365357390774
12,CHEMBL3126833,12,-3.59,-3.4965441,-3.4448457,-3.3459477,-3.5431528,-3.1376762,-3.42636109828949,0.1502723007250585
13,CHEMBL473836,13,-0.06,0.14813434,0.1198698,0.08458538,0.08144452,0.035401467,0.06823925030728181,0.06709960090188942
14,CHEMBL1934900,14,0.11,0.059767865,0.09413429,0.23287353,0.17336822,0.12734173,0.1329142725467682,0.056330535457503696
15,CHEMBL507592,15,0.0,0.24307077,0.26245576,0.17272891,0.2864369,0.16399117,0.18811391542355219,0.09523639226087185
16,CHEMBL482271,16,0.24,1.0968474,0.8876828,1.0119739,0.95013976,1.1305876,0.8862052345275879,0.3004390166915417
17,CHEMBL4577107,17,0.48,1.0776384,0.9022792,1.0176965,0.96680963,1.0024158,0.9078065820535025,0.19849429848717517
18,CHEMBL3339010,18,0.17,-0.03491706,0.11853117,-0.029227143,-0.070964724,-0.04122149,0.01870012532919646,0.09097627865287422
19,CHEMBL4245802,19,0.33,0.58529437,0.3892157,0.4775624,0.4892942,0.471738,0.4571841138601303,0.08048383666551555
20,CHEMBL3800394,20,1.21,0.45460907,0.42939088,0.41960576,0.4092016,0.3911951,0.5523337310552597,0.29474824335084027
21,CHEMBL4072618,21,0.58,0.38924587,0.3895918,0.4138076,0.41529652,0.4167414,0.4341138678789139,0.06626506600977788
22,CHEMBL251011,22,0.43,0.8372587,0.75354147,0.93771976,1.1836582,0.96486175,0.8511733202139536,0.23024412040357176
23,CHEMBL4065147,23,2.81,1.02364,1.6775514,1.9305946,2.0208602,2.1107135,1.928893277645111,0.5323727745852735
24,CHEMBL468935,24,0.12,-0.009186194,-0.013910144,-0.062190663,0.0053122244,-0.19184187,-0.02530277452431619,0.09267838426981305
25,CHEMBL4069669,25,-0.15,0.10331563,0.19997896,0.14698367,0.17180592,0.09861516,0.09511655668417612,0.11527443412743242
26,CHEMBL479970,26,2.11,0.77961147,0.6257569,0.89503944,0.7429982,0.5869769,0.9567304825782775,0.5255394415435857
27,CHEMBL475043,27,0.28,-0.05493955,0.026123952,0.0845632,0.038874663,0.06996778,0.07409834096829097,0.10223754585597071
28,CHEMBL2401845,28,0.37,0.4450197,0.5139693,0.4159175,0.35229263,0.35999212,0.40953187068303426,0.05700968585265874
29,CHEMBL4464003,29,2.93,2.9546623,3.0822132,2.5495255,2.730489,2.818317,2.8442011562983196,0.17158429076582923
30,CHEMBL3799265,30,0.75,0.8558462,0.43315357,0.37876236,0.6210962,0.80316496,0.640337218840917,0.18106150740411447
31,CHEMBL2094337,31,-0.28,1.178488,1.1741781,1.2322525,1.1649733,1.033121,0.9171688111623127,0.5387770635877934
32,CHEMBL4243347,32,1.0,2.3080008,2.1653545,2.38655,1.8382236,2.4763305,2.029076556364695,0.5032589067176562
33,CHEMBL3104855,33,0.13,0.32942864,-0.12233227,0.3417121,0.17609604,0.28044134,0.18922430728872616,0.15915280702415646
34,CHEMBL2425967,34,2.33,1.750721,2.2006884,1.9080446,2.0143478,2.1872659,2.065177930196126,0.19560037503563651
35,CHEMBL4542734,35,-2.5,-2.7342958,-2.8214004,-2.1909058,-2.4586577,-1.8748666,-2.430021067460378,0.3206375470481305
36,CHEMBL4590543,36,-0.75,0.4360073,0.056652315,0.47842306,0.028670978,0.2210292,0.07846380832294624,0.4077247817868787
37,CHEMBL3947397,37,-0.46,-0.46284285,-0.5404233,-0.49652424,-0.47460636,-0.56124514,-0.49927364647388456,0.03877158403621591
38,CHEMBL564382,38,-0.01,0.5109451,0.32339823,0.5014902,0.5998811,0.11173286,0.33957457756002746,0.2227554373277377
39,CHEMBL2413292,39,1.47,0.90930504,1.0806217,1.0893276,0.8460059,1.043371,1.0731052013238271,0.1988021834509659
40,CHEMBL487253,40,0.45,0.28381717,0.22412127,0.48648977,0.37104005,0.29382232,0.3515484303236008,0.09348735071278298
41,CHEMBL1173195,41,-0.87,-1.516111,-1.4867141,-1.4016762,-1.5710862,-1.5760195,-1.4036011687914531,0.24565540123602603
42,CHEMBL4241177,42,-0.51,-0.65998155,-0.5512561,-0.6183935,-0.60667485,-0.52453136,-0.5784728940327962,0.05380774878358482
43,CHEMBL3287017,43,-1.06,-0.020801047,0.102289625,-0.041145287,0.019019682,0.017025692,-0.16393522257606188,0.40323522184326727
44,CHEMBL4530950,44,2.39,2.39472,2.3941443,2.5474966,2.5093842,2.4160922,2.4419728740056357,0.06267763992493565
45,CHEMBL2408693,45,0.03,-0.2353376,-0.007835397,-0.17232409,0.16523556,-0.2881215,-0.08473050257191062,0.15983429392443674
46,CHEMBL3692684,46,0.02,0.39485574,0.22381839,0.32014924,0.2304146,0.33961323,0.2548085333903631,0.12094417749577024
47,CHEMBL484489,47,0.11,0.035783675,0.16874534,0.17351554,0.21156333,0.21791193,0.15291996993124485,0.06311451803597147
48,CHEMBL427510,48,1.29,0.5696919,0.47789317,0.67278844,0.6012531,0.6179585,0.7049308482805888,0.2681690994126413
49,CHEMBL3670668,49,2.29,1.2713948,1.2089354,0.9548865,1.2723421,1.0013082,1.3331445022424062,0.4456651867490559
50,CHEMBL4162183,50,0.07,0.09184693,-0.1664372,-0.028157614,-0.17295073,-0.05268268,-0.04306354813277721,0.1027867155906525
51,CHEMBL3758407,51,0.21,0.78948116,0.8003541,0.78950465,0.35497144,0.5570082,0.583553263147672,0.23249416349704513
52,CHEMBL27759,52,-2.77,-0.5164906,-0.4124856,-0.6469597,-0.55693305,-0.73839474,-0.9402106138070424,0.8245998003810697
53,CHEMBL3771210,53,0.97,0.6137212,0.7412439,0.74080944,0.6657723,0.7462464,0.7462988746166229,0.1111749754976128
54,CHEMBL4527868,54,0.43,0.95443064,1.0423177,0.86792135,0.50878716,1.1235387,0.821165937980016,0.2616850124669445
55,CHEMBL4069152,55,-0.12,0.21237111,0.2830382,0.19483237,0.13390319,0.11918009,0.1372208267947038,0.12697006845769943
56,CHEMBL3774858,56,0.62,0.7345552,0.61720246,0.8469066,0.7559216,0.8855437,0.7433549257119497,0.10190423390752967
57,CHEMBL4461622,57,2.34,1.5202442,1.2398967,1.5294518,1.3208715,1.3066757,1.5428566479682921,0.37259722712627236
58,CHEMBL2179619,58,2.34,2.6711304,2.824759,2.8046708,2.735374,2.5386791,2.652435555458069,0.16864940267404807
59,CHEMBL3352991,59,-0.49,-0.8542432,-1.1146984,-1.1335261,-1.2162516,-1.5978655,-1.0677641316254933,0.3388672271287691
60,CHEMBL2018294,60,2.8,2.2233038,2.2698123,2.2103405,2.618572,2.2777305,2.3999598503112796,0.22615063105137287
61,CHEMBL4278715,61,0.7,0.4566306,0.41836962,0.514641,0.62130815,0.47105652,0.5303343107302984,0.09898750130292944
62,CHEMBL3356524,62,0.3,0.48810515,0.5117821,0.544993,0.6420674,0.49573353,0.4971135238806406,0.10202616076422287
63,CHEMBL2047680,63,-2.3,-0.7586266,-0.6737058,-0.8252994,-0.34949136,-0.617394,-0.9207528511683146,0.6347069575485301
64,CHEMBL518821,64,0.8,0.8880733,0.73488927,0.57057875,0.6265224,0.86390835,0.7473286867141723,0.11702105934199705
65,CHEMBL4069853,65,-0.81,0.19252747,-0.32022598,-0.25638297,-0.2046315,-0.66399795,-0.34378515640894575,0.3253412729504446
66,CHEMBL1094708,66,-0.4,0.4646726,0.3311207,0.43981972,0.5333696,0.3534483,0.28707182010014853,0.3146295125779353
67,CHEMBL2371802,67,-0.83,-0.9303683,-0.38395992,-0.60971546,-0.8193368,-0.40061054,-0.6623318322499593,0.21344950887871555
68,CHEMBL1097981,68,-0.1,-0.26609495,-0.3585496,-0.30387563,-0.23264113,-0.2565372,-0.25294975042343143,0.0793058469763575
69,CHEMBL4565933,69,2.64,2.7937355,2.8718514,2.9755857,2.8193407,2.5872352,2.7812914276123046,0.1323978004367918
70,CHEMBL4101744,70,0.68,0.28832275,0.32805216,0.23110738,0.36138147,0.2964822,0.36422432839870456,0.14668614361622334
71,CHEMBL3892427,71,2.24,1.9977245,2.026006,2.176022,2.0827458,2.147122,2.1116033776601157,0.08468086137429888
72,CHEMBL1099057,72,-0.6,-0.4537595,-0.51915056,-0.54592144,-0.48920754,-0.48065037,-0.5147815654675166,0.04794723674532891
73,CHEMBL4070232,73,0.26,-0.17405389,-0.18922226,-0.09466731,-0.0073965453,-0.10658775,-0.0519879599660635,0.15158105141920394
74,CHEMBL4554270,74,3.65,3.0400763,2.584084,2.972931,2.8842072,2.7225385,2.975639486312866,0.33780102285645075
75,CHEMBL567457,75,-0.69,-1.2428932,-0.8493101,-1.038067,-1.0458088,-0.51833093,-0.8974016710122426,0.24159149100081648
76,CHEMBL2407730,76,0.03,2.380118,2.2006524,2.6149876,2.5397575,2.2321858,1.9996168661117553,0.8934118383411183
77,CHEMBL2413295,77,0.91,1.0384194,1.0940914,1.1041636,1.0646873,1.0954065,1.0511280353864034,0.0669349166312961
78,CHEMBL4094315,78,0.21,0.16319932,-0.008666584,-0.082630254,0.22792502,0.1512183,0.11017429906874894,0.11519795724152927
79,CHEMBL1094793,79,0.0,-0.19844337,-0.19175091,-0.19225396,-0.22153953,-0.16867572,-0.1621105819940567,0.07411925677761994
80,CHEMBL2425968,80,2.39,1.6458256,2.0564175,2.1018004,1.8777859,2.0567393,2.021428130467733,0.226011206446558
81,CHEMBL4443548,81,2.83,2.544232,2.3385901,2.0808887,2.3944614,2.2001197,2.3980486520131428,0.2419593458648934
82,CHEMBL4476057,82,2.15,0.10102968,0.27096403,0.16252154,0.26404497,0.4397444,0.5647174383203188,0.716728904488734
83,CHEMBL470470,83,0.6,0.21398927,0.25147352,0.34724763,0.4926484,0.19176501,0.34952063709497455,0.15060957179438783
84,CHEMBL561604,84,0.85,1.0390778,0.89189935,0.82440066,0.85622334,-0.21406399,0.707922854522864,0.41819387197554087
85,CHEMBL496108,85,-0.2,-0.56379056,-0.58880657,-0.58509403,-0.67007893,-0.5393648,-0.5245224853356679,0.1505905904002997
86,CHEMBL115011,86,-0.08,-0.05141324,-0.008120209,-0.113661565,-0.0005624243,0.033462428,-0.036715835398063064,0.05009980958251486
87,CHEMBL141885,87,0.21,0.96002954,1.0625237,0.77856237,1.1126908,0.98379993,0.851267728805542,0.30519813446859007
88,CHEMBL4554511,88,3.45,1.1823732,1.2658622,1.8765008,1.2558538,1.270219,1.7168014963467915,0.8093566950574781
89,CHEMBL475862,89,0.64,0.024851007,0.046318665,0.17965254,0.013201892,-0.06434375,0.13994672605146966,0.2350325929540291
90,CHEMBL4174193,90,2.71,1.6667416,1.8847628,1.8330733,1.9400989,1.616071,1.9417912499109906,0.3621614264421719
91,CHEMBL4210907,91,2.37,2.308043,2.1727479,2.3906898,2.3276098,2.4737353,2.340470968882243,0.0917435901217665
92,CHEMBL4469488,92,2.06,1.8360462,1.0619805,1.8582802,1.5169345,1.7445842,1.6796376005808513,0.31969856881705394
93,CHEMBL3957055,93,-0.51,-0.31414714,-0.2774132,-0.32331473,-0.36587405,-0.2642723,-0.3425035691261291,0.08178266009732582
94,CHEMBL4225230,94,2.01,2.1644285,1.7852604,1.5093198,2.01282,1.3693473,1.8085293388366699,0.28633835783974576
95,CHEMBL503,95,-0.14,-0.94673234,-0.5258736,-0.40310645,-0.18480477,-0.22526279,-0.40429665883382165,0.27661687715225836
96,CHEMBL1801250,96,-2.84,-1.0356362,-1.0661349,-0.9557419,-1.0552319,-0.755228,-1.2846621517340342,0.7035589539602985
97,CHEMBL4449010,97,0.61,-0.44554242,-0.48781493,-0.31346196,-0.48609588,-0.48637414,-0.26821488877137506,0.39750125911043566
98,CHEMBL494139,98,0.87,-0.09041814,0.22596684,0.18151423,-0.11737144,-0.039133333,0.17175969401995342,0.3384727924664816
99,CHEMBL2413306,99,0.55,0.7341589,0.72868055,0.80911314,0.7384496,0.6527346,0.7021894534428914,0.08172995029420346
100,CHEMBL4551620,100,1.21,0.9880859,1.310553,0.96580213,1.04688,0.9259504,1.0745452380180358,0.1391603984468202
101,CHEMBL568151,101,0.49,-0.5344364,-0.57808244,-0.5510352,-0.550912,-0.72027075,-0.407456141312917,0.40614290833378774
102,CHEMBL2018303,102,3.59,3.249459,3.4030077,2.9880023,3.3900504,3.3808224,3.333556984265645,0.1837083118915756
